turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
10,0.111,0.77,2,4,0.1058,0.8942,7,0,0.3402,0.0811,-9.501,9,1
6,0.0,0.11,4,0,1.0,0.0,2,1,0.3836,0.0452,0.662,3,1
8,1.0,0.15,3,4,0.0276,0.9724,6,0,0.4882,0.025,7.789,6,0
12,0.199,0.69,2,4,0.2111,0.7889,6,0,0.3472,0.1475,-25.128,9,1
9,1.0,0.4,4,4,0.0,1.0,6,0,0.9994,0.9988,16.329,6,0
7,0.447,0.17,2,4,0.012,0.988,7,0,0.3863,0.0338,7.806,7,0
8,1.0,0.78,1,4,0.0088,0.9912,9,0,0.4721,0.2474,-35.828,9,0
5,0.0,0.81,5,0,1.0,0.0,3,1,0.8249,0.69,0.421,3,0
6,0.0,0.14,3,0,1.0,0.0,3,1,0.4991,0.1403,-20.082,3,0
10,0.0,1.0,3,0,1.0,0.0,3,1,0.6065,0.4023,-18.644,3,0
10,0.0,0.77,2,0,1.0,0.0,4,1,0.8997,0.7995,-8.7,4,0
7,1.0,0.11,3,4,0.0017,0.9983,7,0,0.9541,0.9209,-0.85,7,0
12,0.0,0.23,2,0,1.0,0.0,2,1,0.7502,0.5003,-25.62,2,0
10,1.0,0.03,4,4,0.0,1.0,6,0,1.0,1.0,16.972,6,0
11,1.0,1.0,2,4,0.2777,0.7223,8,0,0.3096,0.0402,-23.344,8,0
7,0.0,0.17,2,0,1.0,0.0,3,1,0.7539,0.5078,6.536,3,0
6,1.0,0.81,4,4,0.0026,0.9974,6,0,0.8292,0.6879,4.25,6,0
7,1.0,0.14,2,4,0.0619,0.9381,7,0,0.7089,0.6143,-27.016,7,0
11,1.0,0.77,1,4,0.1593,0.8407,9,0,0.7725,0.6133,-10.475,9,0
9,0.944,1.0,3,4,0.3657,0.6343,6,0,0.4072,0.1822,4.71,6,0
13,1.0,0.23,1,4,0.0281,0.9719,9,0,0.7742,0.6304,-29.457,9,0
12,0.768,0.74,2,4,0.1198,0.8802,8,0,0.5038,0.3314,-24.12,8,0
11,0.0,0.77,1,0,1.0,0.0,3,1,1.0,1.0,-14.064,3,0
8,1.0,0.17,1,4,0.1149,0.8851,8,0,0.4031,0.0217,-3.952,8,0
7,1.0,0.81,4,4,0.0075,0.9925,6,0,0.5771,0.2218,2.665,6,0
8,0.258,0.14,2,4,0.0376,0.9624,7,0,0.6684,0.4691,-35.619,7,0
9,0.326,0.53,1,4,0.0002,0.9998,9,0,0.7848,0.6517,-35.903,9,0
8,0.9,1.0,3,4,0.5076,0.4924,4,1,0.4728,0.1195,-7.637,4,0
9,0.0,0.73,3,0,1.0,0.0,2,1,0.4298,0.0712,-6.504,2,0
11,1.0,1.0,4,4,0.0,1.0,8,0,0.9997,0.9995,15.747,8,0
8,0.0,0.17,1,0,1.0,0.0,5,1,1.0,1.0,-6.829,5,0
13,0.523,0.59,2,4,0.0646,0.9354,8,0,0.5433,0.2869,-26.633,8,0
8,1.0,0.81,4,4,0.0139,0.9861,8,0,0.5678,0.23,1.071,8,0
8,0.0,0.14,2,0,1.0,0.0,5,1,0.7916,0.5832,-36.437,5,0
12,1.0,0.77,0,4,0.0,1.0,9,0,0.511,0.0727,-17.334,9,0
14,1.0,0.88,1,1,0.2196,0.7804,9,0,0.7804,0.5608,-19.946,9,0
10,1.0,0.73,2,4,0.0829,0.9171,8,0,0.729,0.6268,-10.269,8,0
9,0.645,1.0,3,4,0.0946,0.9054,8,0,0.6133,0.4607,-7.969,8,0
11,0.0,0.0,4,0,1.0,0.0,1,1,0.9991,0.9981,17.531,1,0
9,1.0,0.17,0,4,0.0,1.0,9,0,0.3832,0.0967,-4.847,9,0
9,1.0,0.14,1,4,0.5587,0.4413,1,1,0.5587,0.4041,-42.301,1,0
14,0.297,0.41,2,4,0.0579,0.9421,9,0,0.4116,0.0677,-26.764,8,1
9,1.0,0.41,4,4,0.0001,0.9999,6,0,0.9886,0.9823,4.61,6,0
10,0.388,1.0,1,4,0.0,1.0,6,0,0.9064,0.8191,-22.848,6,0
13,0.747,0.43,0,4,0.0,1.0,7,0,0.6321,0.3771,-16.584,7,0
14,0.0,0.47,1,0,1.0,0.0,1,1,1.0,1.0,-32.815,1,0
11,0.843,0.73,2,4,0.0565,0.9435,8,0,0.7499,0.6425,-9.975,8,0
12,1.0,1.0,3,4,0.0,1.0,7,0,0.9998,0.9997,23.401,7,0
10,0.161,1.0,3,4,0.1453,0.8547,8,0,0.6037,0.4773,-12.203,8,0
15,0.297,0.41,2,4,0.049,0.951,9,0,0.4762,0.1754,-27.093,8,1
10,0.352,0.14,1,4,0.0184,0.9816,9,0,0.4984,0.2756,-42.626,9,0
10,1.0,0.41,4,4,0.0005,0.9995,6,0,0.95,0.9236,3.116,6,0
10,0.0,0.88,1,0,1.0,0.0,5,1,1.0,1.0,-29.792,5,0
14,0.527,0.31,0,4,0.0,1.0,7,0,0.5321,0.2635,-17.531,7,0
10,0.94,1.0,0,1,0.0,1.0,9,0,1.0,1.0,-4.931,9,0
15,1.0,0.47,0,4,0.0,1.0,8,0,0.5935,0.2933,-28.695,8,0
12,0.685,0.73,2,4,0.0361,0.9639,8,0,0.7418,0.611,-9.483,8,0
12,0.0,0.2,3,0,1.0,0.0,3,1,0.9964,0.9935,25.344,3,0
10,0.0,1.0,3,0,1.0,0.0,5,1,0.5291,0.2788,-6.475,2,1
11,1.0,0.88,0,4,0.0,1.0,7,0,0.6417,0.4514,-33.679,7,0
10,0.0,0.14,1,0,1.0,0.0,5,1,1.0,1.0,-40.366,5,0
16,0.186,0.41,2,4,0.0359,0.9641,9,0,0.5507,0.3125,-28.539,9,0
11,1.0,0.41,4,4,0.002,0.998,6,0,0.8185,0.7304,1.607,6,0
15,0.267,0.19,0,4,0.0,1.0,9,0,0.3384,0.0289,-18.994,9,0
11,0.038,0.46,0,1,0.0,1.0,9,0,1.0,1.0,-8.493,9,0
13,0.519,0.73,2,4,0.023,0.977,8,0,0.6976,0.5224,-8.946,8,0
11,1.0,1.0,2,4,0.1769,0.8231,8,0,0.5799,0.4588,-9.378,8,0
13,1.0,0.2,2,4,0.0,1.0,9,0,0.9562,0.9124,27.281,9,0
17,0.186,0.41,2,4,0.0281,0.9719,9,0,0.6067,0.4258,-28.757,9,0
12,0.67,0.04,0,4,0.0,1.0,7,0,0.6423,0.408,-31.537,7,0
11,1.0,0.14,0,4,0.0,1.0,8,0,0.4965,0.2541,-45.362,8,0
12,1.0,0.41,4,4,0.0051,0.9949,6,0,0.5697,0.3632,0.13,6,0
16,0.539,0.88,0,1,0.0,1.0,8,0,1.0,1.0,-29.923,8,0
12,0.518,1.0,2,4,0.1731,0.8269,8,0,0.5506,0.3994,-10.369,8,0
14,0.354,0.73,2,4,0.0147,0.9853,8,0,0.6192,0.3808,-8.264,8,0
18,0.186,0.41,2,4,0.0272,0.9728,9,0,0.6322,0.4769,-28.797,9,0
13,1.0,0.41,4,4,0.0086,0.9914,8,0,0.3616,0.0126,-1.224,8,0
14,0.902,1.0,2,4,0.0,1.0,7,0,0.7029,0.4201,26.696,7,0
1,1.0,1.0,5,8,0.0,1.0,25,0,0.5901,0.1804,13.586,25,0
