turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
7,0.877,0.17,2,4,0.0001,0.9999,9,0,0.9979,0.9968,-2.588,9,0
6,0.0,1.0,4,0,1.0,0.0,3,1,0.578,0.2859,-26.747,3,0
13,0.0,0.54,2,0,1.0,0.0,3,1,0.9683,0.9365,-20.337,3,0
15,0.57,0.25,1,4,0.0149,0.9851,9,0,0.6003,0.2736,-31.135,9,0
13,0.729,1.0,2,4,0.0009,0.9991,6,0,0.9523,0.9237,-27.963,6,0
10,0.66,0.58,2,4,0.0078,0.9922,7,0,0.9899,0.9826,-30.283,7,0
16,1.0,1.0,1,4,0.0014,0.9986,7,0,0.6843,0.4309,-20.266,7,0
14,0.8,0.03,2,4,0.1663,0.8337,6,0,0.6508,0.4997,-30.778,6,0
7,1.0,1.0,3,4,0.3956,0.6044,7,0,0.5379,0.2532,-28.36,7,0
1,1.0,1.0,5,8,0.002,0.998,9,0,0.7548,0.5311,-24.619,9,0
14,1.0,0.54,1,4,0.001,0.999,7,0,0.5919,0.3484,-18.466,7,0
9,0.314,1.0,4,4,0.0307,0.9693,6,0,0.763,0.5799,-10.575,6,0
16,0.345,0.31,1,4,0.014,0.986,9,0,0.5473,0.1567,-32.269,9,0
14,0.361,0.17,2,3,0.0191,0.9809,8,0,0.9384,0.9034,-26.944,8,0
11,0.512,0.15,2,4,0.0036,0.9964,7,0,0.995,0.9917,-31.208,7,0
8,0.75,1.0,2,4,0.0009,0.9991,8,0,0.8215,0.6464,-5.5,8,0
8,0.86,0.66,3,4,0.2961,0.7039,7,0,0.5764,0.4078,-28.319,7,0
15,0.315,0.11,1,1,0.0563,0.9437,7,0,0.9437,0.8874,-21.789,7,0
9,0.0,0.82,4,0,1.0,0.0,3,1,0.5276,0.0971,-12.699,3,0
17,0.145,0.37,1,4,0.0131,0.9869,9,0,0.4957,0.0446,-32.832,9,0
14,0.0,0.17,2,0,1.0,0.0,2,1,0.9329,0.8657,-25.573,2,0
17,1.0,1.0,1,1,0.8766,0.1234,2,1,0.8766,0.7532,-9.507,2,0
15,0.616,0.94,2,4,0.1519,0.8481,6,0,0.5341,0.3247,-30.955,6,0
9,0.169,0.97,2,4,0.0005,0.9995,8,0,0.8813,0.7652,-9.798,8,0
