turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
8,0.0,0.26,5,0,1.0,0.0,3,1,0.3134,0.0532,5.912,0,1
6,1.0,0.19,5,1,0.0009,0.9991,8,0,0.9991,0.9983,2.807,8,0
5,0.822,0.79,4,4,0.3703,0.6297,6,0,0.4229,0.258,-16.718,6,0
9,0.613,1.0,3,4,0.4227,0.5773,9,0,0.2425,0.0155,-14.56,9,0
8,0.0,1.0,4,0,1.0,0.0,1,1,0.6214,0.4422,-18.075,1,0
8,0.366,1.0,2,1,0.0538,0.9462,9,0,0.9462,0.8925,17.345,9,0
10,0.705,1.0,3,4,0.3072,0.6928,7,0,0.5295,0.2997,-24.263,7,0
8,0.769,0.86,5,4,0.3909,0.6091,9,0,0.4532,0.1808,-2.728,9,0
9,0.285,0.26,4,4,0.0037,0.9963,7,0,0.8977,0.8305,8.453,7,0
10,0.031,1.0,3,4,0.3223,0.6777,4,1,0.2266,0.0012,-25.271,9,1
9,1.0,1.0,3,4,0.1583,0.8417,9,0,0.467,0.334,-15.77,9,0
7,1.0,0.19,5,1,0.0009,0.9991,8,0,0.9991,0.9983,2.807,8,0
6,0.567,0.56,4,4,0.3653,0.6347,6,0,0.3607,0.1996,-15.457,6,0
10,0.343,1.0,3,4,0.3676,0.6324,9,0,0.2257,0.0214,-15.698,9,0
9,0.111,0.54,2,1,0.0163,0.9837,9,0,0.9837,0.9678,18.877,9,0
11,0.074,0.57,3,4,0.2762,0.7238,7,0,0.4526,0.2636,-25.118,7,0
14,0.633,1.0,4,1,0.841,0.1591,5,1,0.7307,0.5716,-12.621,5,0
9,0.541,0.7,5,4,0.5575,0.4425,4,1,0.3856,0.1393,-3.135,8,1
10,0.822,1.0,3,4,0.1547,0.8453,9,0,0.5336,0.4,-16.78,9,0
11,0.324,0.91,3,4,0.3323,0.6677,9,0,0.2525,0.0155,-21.609,8,1
11,0.0,0.64,3,0,1.0,0.0,2,1,0.4555,0.0772,-26.031,2,0
7,0.32,0.34,4,4,0.2966,0.7034,7,0,0.3346,0.0874,-14.096,6,1
14,0.0,1.0,4,0,1.0,0.0,0,1,0.3757,0.067,-10.436,2,1
10,0.285,1.0,4,1,0.0063,0.9937,7,0,0.9937,0.9882,9.356,7,0
