turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
15,0.0,0.46,1,0,1.0,0.0,5,1,1.0,1.0,-19.452,5,0
15,1.0,0.02,3,4,0.0075,0.9925,8,0,0.7554,0.6121,-32.151,8,0
14,0.856,1.0,1,4,0.0001,0.9999,9,0,0.9999,0.9999,-20.241,9,0
11,1.0,0.9,2,4,0.0127,0.9873,6,0,0.523,0.237,-3.559,6,0
14,0.598,1.0,1,4,0.08,0.92,7,0,0.4671,0.238,-23.109,7,0
9,0.0,1.0,2,0,1.0,0.0,5,1,0.885,0.7701,-22.82,5,0
14,0.073,1.0,2,1,0.5905,0.4095,4,1,0.5902,0.1808,-0.758,8,1
10,0.0,1.0,3,0,1.0,0.0,3,1,0.9231,0.8545,-12.279,3,0
16,0.159,0.46,0,4,0.0,1.0,7,0,0.4921,0.2351,-20.339,7,0
16,1.0,0.02,3,4,0.0073,0.9927,8,0,0.7544,0.612,-32.265,8,0
8,0.339,1.0,3,4,0.0009,0.9991,7,0,0.5247,0.1247,28.231,6,1
14,0.0,1.0,1,0,1.0,0.0,3,1,1.0,1.0,-21.805,3,0
1,1.0,1.0,5,8,0.0033,0.9967,25,0,0.9935,0.9909,-8.178,25,0
15,0.313,0.91,1,4,0.0539,0.9461,7,0,0.4631,0.1808,-21.04,8,1
15,0.526,1.0,2,4,0.0,1.0,7,0,1.0,1.0,-2.958,7,0
10,1.0,1.0,1,4,0.2021,0.7979,9,0,0.6021,0.4,-17.642,9,0
11,1.0,1.0,2,4,0.0281,0.9719,9,0,0.9541,0.9273,-11.57,9,0
15,1.0,1.0,0,4,0.0,1.0,8,0,0.6122,0.373,-24.193,8,0
17,1.0,0.02,3,4,0.0072,0.9928,8,0,0.7537,0.6125,-32.348,8,0
12,1.0,1.0,2,4,0.001,0.999,7,0,0.9709,0.9459,-5.609,7,0
9,0.09,0.84,3,4,0.0007,0.9993,7,0,0.7531,0.5627,27.343,6,1
2,1.0,0.41,5,4,0.0,1.0,6,0,0.9999,0.9999,-8.298,6,0
16,0.068,0.83,1,4,0.0477,0.9523,7,0,0.3043,0.0264,-19.982,7,0
11,0.61,1.0,1,4,0.1955,0.8045,9,0,0.5496,0.3541,-16.573,9,0
15,0.0,0.75,2,0,1.0,0.0,0,1,1.0,0.9999,3.945,0,0
16,0.441,0.73,0,4,0.0,1.0,8,0,0.8474,0.7742,-26.756,8,0
